text,intent
"Bonjour, quand sont les soutenances de stage ?",faq
"Bonjour, comment faire une demande de bourse CROUS ?",faq
Quelles étapes pour Demande de Convention de Stage ?,procedure
Comment puis-je obtenir un certificat de scolarité ?,faq
"Bonjour, comment accéder au WiFi sur le campus ?",faq
Puis-je faire mes stages/alternance à l'étranger ?,faq
Quelles sont les passerelles vers d'autres écoles ?,faq
Téléphone de Santé - Infirmerie,contact
Quand sont mes examens ?,exam
Où se trouve Relations Internationales ?,contact
"Bonjour, y a-t-il cours le samedi ?",faq
Comment faire : Demande de Transfert de Dossier et Exeat ?,procedure
Je veux joindre Informatique - Helpdesk IT,contact
Comment contacter Psychologie ?,contact
Quelles étapes pour Demande d'Aide Financière d'Urgence ?,procedure
"Bonjour, y a-t-il un hackathon organisé par l'école ?",faq
Comment je peux exporter mon emploi du temps sur mon téléphone ?,faq
"Bonjour, comment obtenir une réduction étudiante ?",faq
Horaires de Relations Internationales,contact
"Bonjour, j'ai perdu ma carte étudiante, que faire ?",faq
Téléphone de Service des Sports,contact
Y a-t-il des bourses ou aides spécifiques de l'école ?,faq
Comment consulter un médecin ou une infirmière sur le campus ?,faq
Horaires de Fil Santé Jeunes,contact
Procédure pour Obtention du Diplôme Final,procedure
Puis-je partir en vacances avant la fin du semestre ?,faq
Comment fonctionne le système ECTS ?,faq
Où se trouve SOS Amitié ?,contact
"Bonjour, comment faire une demande d'aide d'urgence ?",faq
Je veux joindre SOS Amitié,contact
Mon compte ENT est bloqué,ent
"Bonjour, y a-t-il une période d'essai en début d'année ?",faq
Procédure pour Inscription à un Programme de Mobilité Internationale,procedure
Je veux faire une demande : Déclaration d'Absence,procedure
Je n'arrive pas à me connecter à l'ENT,ent
Comment fonctionne le système de rattrapage ?,faq
Rattrapages : quand et comment ?,exam
Comment faire : Demande de Convention de Stage ?,procedure
Email de Admissions,contact
Combien d'heures de cours par semaine ?,faq
Y a-t-il des cours en anglais ?,faq
Quels sont les horaires du restaurant universitaire ?,faq
Procédure pour Demande de Validation des Acquis de l'Expérience (VAE),procedure
Comment faire une demande d'équivalence de diplôme étranger ?,faq
Connexion ENT impossible,ent
Comment faire : Organisation d'un Événement sur le Campus ?,procedure
"Bonjour, puis-je faire un double diplôme à l'étranger ?",faq
Où se trouve Cafétéria ?,contact
Y a-t-il un service de restauration pour les personnes ayant des régimes spéciaux ?,faq
Comment faire : Activation et Utilisation du Compte ENT ?,procedure
Comment faire : Demande de Validation des Acquis de l'Expérience (VAE) ?,procedure
Comment contacter SOS Amitié ?,contact
Email de Communication,contact
Horaires de Communication,contact
"Bonjour, comment m'inscrire à une certification professionnelle ?",faq
"Bonjour, y a-t-il des cours en anglais ?",faq
Comment contacter SAMU ?,contact
Comment fonctionne l'assurance scolaire ?,faq
Horaires de Santé - Infirmerie,contact
Je veux joindre Violences Femmes Info,contact
Comment faire : Demande de Césure ?,procedure
Procédure pour Demande d'Aménagement pour Situation de Handicap,procedure
"Bonjour, quelles sont les dates des vacances scolaires ?",faq
Téléphone de Cafétéria,contact
Email de Service Carrières et Relations Entreprises,contact
Quel est mon cours de Introduction Ã  la Programmation (Python) Lundi en B1 ?,timetable
Où se passe Introduction Ã  la Programmation (Python) Lundi ?,timetable
"Je suis en B1, j'ai quoi comme cours Lundi ?",timetable
"En B1, quel cours j'ai Lundi ?",timetable
Emploi du temps B1,timetable
"Mon planning Lundi a changé, je fais quoi ?",timetable
Quel est mon emploi du temps Lundi ?,timetable
Quel est mon cours de Introduction Ã  la Programmation (Python) Lundi ?,timetable
J'ai cours de Introduction Ã  la Programmation (Python) Lundi ?,timetable
Le cours de Introduction Ã  la Programmation (Python) est en salle Amphi A ?,timetable
Où voir l'emploi du temps pour B1 ?,timetable
Dans quelle salle est le cours de Introduction Ã  la Programmation (Python) ?,timetable
Quel est mon cours de MathÃ©matiques pour l'Informatique Lundi ?,timetable
Le cours de MathÃ©matiques pour l'Informatique est en salle Amphi A ?,timetable
Où se passe MathÃ©matiques pour l'Informatique Lundi ?,timetable
Dans quelle salle est le cours de MathÃ©matiques pour l'Informatique ?,timetable
J'ai cours de MathÃ©matiques pour l'Informatique Lundi ?,timetable
Quel est mon cours de MathÃ©matiques pour l'Informatique Lundi en B1 ?,timetable
Quel est mon cours de Communication Ã‰crite et Orale Lundi en B1 ?,timetable
Dans quelle salle est le cours de Communication Ã‰crite et Orale ?,timetable
Quel est mon cours de Communication Ã‰crite et Orale Lundi ?,timetable
Le cours de Communication Ã‰crite et Orale est en salle Salle B101 ?,timetable
J'ai cours de Communication Ã‰crite et Orale Lundi ?,timetable
Où se passe Communication Ã‰crite et Orale Lundi ?,timetable
Quel est mon emploi du temps Mardi ?,timetable
"En B1, quel cours j'ai Mardi ?",timetable
Quel est mon cours de Algorithmique et Structures de DonnÃ©es Mardi en B1 ?,timetable
Dans quelle salle est le cours de Algorithmique et Structures de DonnÃ©es ?,timetable
"Mon planning Mardi a changé, je fais quoi ?",timetable
"Je suis en B1, j'ai quoi comme cours Mardi ?",timetable
Quel est mon cours de Algorithmique et Structures de DonnÃ©es Mardi ?,timetable
Où se passe Algorithmique et Structures de DonnÃ©es Mardi ?,timetable
J'ai cours de Algorithmique et Structures de DonnÃ©es Mardi ?,timetable
Le cours de Algorithmique et Structures de DonnÃ©es est en salle Amphi A ?,timetable
J'ai cours de Anglais Professionnel Niveau 1 Mardi ?,timetable
Quel est mon cours de Anglais Professionnel Niveau 1 Mardi ?,timetable
Dans quelle salle est le cours de Anglais Professionnel Niveau 1 ?,timetable
Où se passe Anglais Professionnel Niveau 1 Mardi ?,timetable
Quel est mon cours de Anglais Professionnel Niveau 1 Mardi en B1 ?,timetable
Le cours de Anglais Professionnel Niveau 1 est en salle Salle B103 ?,timetable
Quel est mon emploi du temps Mercredi ?,timetable
Le cours de SystÃ¨mes d'Exploitation est en salle Amphi B ?,timetable
Quel est mon cours de SystÃ¨mes d'Exploitation Mercredi ?,timetable
Quel est mon cours de SystÃ¨mes d'Exploitation Mercredi en B1 ?,timetable
J'ai cours de SystÃ¨mes d'Exploitation Mercredi ?,timetable
Dans quelle salle est le cours de SystÃ¨mes d'Exploitation ?,timetable
Où se passe SystÃ¨mes d'Exploitation Mercredi ?,timetable
"En B1, quel cours j'ai Mercredi ?",timetable
"Mon planning Mercredi a changé, je fais quoi ?",timetable
"Je suis en B1, j'ai quoi comme cours Mercredi ?",timetable
J'ai cours de Introduction au Management Mercredi ?,timetable
Quel est mon cours de Introduction au Management Mercredi ?,timetable
Dans quelle salle est le cours de Introduction au Management ?,timetable
Le cours de Introduction au Management est en salle Amphi A ?,timetable
Quel est mon cours de Introduction au Management Mercredi en B1 ?,timetable
Où se passe Introduction au Management Mercredi ?,timetable
"En B1, quel cours j'ai Jeudi ?",timetable
Quel est mon cours de Statistiques Descriptives Jeudi ?,timetable
"Mon planning Jeudi a changé, je fais quoi ?",timetable
"Je suis en B1, j'ai quoi comme cours Jeudi ?",timetable
Quel est mon emploi du temps Jeudi ?,timetable
Où se passe Statistiques Descriptives Jeudi ?,timetable
Quel est mon cours de Statistiques Descriptives Jeudi en B1 ?,timetable
J'ai cours de Statistiques Descriptives Jeudi ?,timetable
Dans quelle salle est le cours de Statistiques Descriptives ?,timetable
Le cours de Statistiques Descriptives est en salle Amphi B ?,timetable
Quel est mon cours de Machine Learning AvancÃ© Lundi en B3-DATA ?,timetable
"En B3-DATA, quel cours j'ai Lundi ?",timetable
Quel est mon cours de Machine Learning AvancÃ© Lundi ?,timetable
Dans quelle salle est le cours de Machine Learning AvancÃ© ?,timetable
Le cours de Machine Learning AvancÃ© est en salle Amphi C ?,timetable
"Je suis en B3-DATA, j'ai quoi comme cours Lundi ?",timetable
Où voir l'emploi du temps pour B3-DATA ?,timetable
Où se passe Machine Learning AvancÃ© Lundi ?,timetable
Emploi du temps B3-DATA,timetable
J'ai cours de Machine Learning AvancÃ© Lundi ?,timetable
Quel est mon cours de Big Data et Spark Lundi ?,timetable
Dans quelle salle est le cours de Big Data et Spark ?,timetable
Quel est mon cours de Big Data et Spark Lundi en B3-DATA ?,timetable
Le cours de Big Data et Spark est en salle Amphi C ?,timetable
Où se passe Big Data et Spark Lundi ?,timetable
J'ai cours de Big Data et Spark Lundi ?,timetable
Quel est mon cours de Visualisation de DonnÃ©es Lundi en B3-DATA ?,timetable
Dans quelle salle est le cours de Visualisation de DonnÃ©es ?,timetable
J'ai cours de Visualisation de DonnÃ©es Lundi ?,timetable
Quel est mon cours de Visualisation de DonnÃ©es Lundi ?,timetable
Où se passe Visualisation de DonnÃ©es Lundi ?,timetable
Le cours de Visualisation de DonnÃ©es est en salle Lab Data ?,timetable
Le cours de NLP - Traitement du Langage Naturel est en salle Salle B201 ?,timetable
Où se passe NLP - Traitement du Langage Naturel Mardi ?,timetable
Quel est mon cours de NLP - Traitement du Langage Naturel Mardi en B3-DATA ?,timetable
"Je suis en B3-DATA, j'ai quoi comme cours Mardi ?",timetable
Dans quelle salle est le cours de NLP - Traitement du Langage Naturel ?,timetable
"En B3-DATA, quel cours j'ai Mardi ?",timetable
Quel est mon cours de NLP - Traitement du Langage Naturel Mardi ?,timetable
J'ai cours de NLP - Traitement du Langage Naturel Mardi ?,timetable
Le cours de Projet Data Science est en salle Lab Data ?,timetable
"En B3-DATA, quel cours j'ai Mercredi ?",timetable
Dans quelle salle est le cours de Projet Data Science ?,timetable
Où se passe Projet Data Science Mercredi ?,timetable
J'ai cours de Projet Data Science Mercredi ?,timetable
Quel est mon cours de Projet Data Science Mercredi ?,timetable
"Je suis en B3-DATA, j'ai quoi comme cours Mercredi ?",timetable
Quel est mon cours de Projet Data Science Mercredi en B3-DATA ?,timetable
Dans quelle salle est le cours de MLOps et DÃ©ploiement ?,timetable
Quel est mon cours de MLOps et DÃ©ploiement Jeudi ?,timetable
"En B3-DATA, quel cours j'ai Jeudi ?",timetable
Le cours de MLOps et DÃ©ploiement est en salle Salle B202 ?,timetable
"Je suis en B3-DATA, j'ai quoi comme cours Jeudi ?",timetable
Quel est mon cours de MLOps et DÃ©ploiement Jeudi en B3-DATA ?,timetable
J'ai cours de MLOps et DÃ©ploiement Jeudi ?,timetable
Où se passe MLOps et DÃ©ploiement Jeudi ?,timetable
Le cours de Anglais Technique - Data Science est en salle Salle B103 ?,timetable
J'ai cours de Anglais Technique - Data Science Jeudi ?,timetable
Quel est mon cours de Anglais Technique - Data Science Jeudi en B3-DATA ?,timetable
Quel est mon cours de Anglais Technique - Data Science Jeudi ?,timetable
Dans quelle salle est le cours de Anglais Technique - Data Science ?,timetable
Où se passe Anglais Technique - Data Science Jeudi ?,timetable
Dans quelle salle est le cours de Gestion de Projet Data ?,timetable
"Je suis en B3-DATA, j'ai quoi comme cours Vendredi ?",timetable
Le cours de Gestion de Projet Data est en salle Salle B201 ?,timetable
Quel est mon cours de Gestion de Projet Data Vendredi ?,timetable
"En B3-DATA, quel cours j'ai Vendredi ?",timetable
Quel est mon cours de Gestion de Projet Data Vendredi en B3-DATA ?,timetable
J'ai cours de Gestion de Projet Data Vendredi ?,timetable
Quel est mon emploi du temps Vendredi ?,timetable
"Mon planning Vendredi a changé, je fais quoi ?",timetable
Où se passe Gestion de Projet Data Vendredi ?,timetable
Dans quelle salle est le cours de Ethical Hacking et Pentesting ?,timetable
"Je suis en B3-CYBER, j'ai quoi comme cours Lundi ?",timetable
Emploi du temps B3-CYBER,timetable
J'ai cours de Ethical Hacking et Pentesting Lundi ?,timetable
Où se passe Ethical Hacking et Pentesting Lundi ?,timetable
Quel est mon cours de Ethical Hacking et Pentesting Lundi ?,timetable
Quel est mon cours de Ethical Hacking et Pentesting Lundi en B3-CYBER ?,timetable
"En B3-CYBER, quel cours j'ai Lundi ?",timetable
Le cours de Ethical Hacking et Pentesting est en salle Salle B201 ?,timetable
Où voir l'emploi du temps pour B3-CYBER ?,timetable
Où se passe Cryptographie AppliquÃ©e Lundi ?,timetable
Quel est mon cours de Cryptographie AppliquÃ©e Lundi ?,timetable
Dans quelle salle est le cours de Cryptographie AppliquÃ©e ?,timetable
Quel est mon cours de Cryptographie AppliquÃ©e Lundi en B3-CYBER ?,timetable
J'ai cours de Cryptographie AppliquÃ©e Lundi ?,timetable
Le cours de Cryptographie AppliquÃ©e est en salle Salle B201 ?,timetable
"Je suis en B3-CYBER, j'ai quoi comme cours Mardi ?",timetable
Le cours de SÃ©curitÃ© des Applications Web est en salle Salle B202 ?,timetable
"En B3-CYBER, quel cours j'ai Mardi ?",timetable
Dans quelle salle est le cours de SÃ©curitÃ© des Applications Web ?,timetable
J'ai cours de SÃ©curitÃ© des Applications Web Mardi ?,timetable
Quel est mon cours de SÃ©curitÃ© des Applications Web Mardi en B3-CYBER ?,timetable
Quel est mon cours de SÃ©curitÃ© des Applications Web Mardi ?,timetable
Où se passe SÃ©curitÃ© des Applications Web Mardi ?,timetable
Où se passe Forensics et RÃ©ponse aux Incidents Mardi ?,timetable
J'ai cours de Forensics et RÃ©ponse aux Incidents Mardi ?,timetable
Quel est mon cours de Forensics et RÃ©ponse aux Incidents Mardi en B3-CYBER ?,timetable
Dans quelle salle est le cours de Forensics et RÃ©ponse aux Incidents ?,timetable
Quel est mon cours de Forensics et RÃ©ponse aux Incidents Mardi ?,timetable
Le cours de Forensics et RÃ©ponse aux Incidents est en salle Salle B201 ?,timetable
Quel est mon cours de SÃ©curitÃ© des RÃ©seaux Mercredi ?,timetable
Le cours de SÃ©curitÃ© des RÃ©seaux est en salle Salle B201 ?,timetable
J'ai cours de SÃ©curitÃ© des RÃ©seaux Mercredi ?,timetable
"Je suis en B3-CYBER, j'ai quoi comme cours Mercredi ?",timetable
Dans quelle salle est le cours de SÃ©curitÃ© des RÃ©seaux ?,timetable
"En B3-CYBER, quel cours j'ai Mercredi ?",timetable
Quel est mon cours de SÃ©curitÃ© des RÃ©seaux Mercredi en B3-CYBER ?,timetable
Où se passe SÃ©curitÃ© des RÃ©seaux Mercredi ?,timetable
Le cours de Projet CTF et Challenges est en salle Lab Cyber ?,timetable
Quel est mon cours de Projet CTF et Challenges Jeudi en B3-CYBER ?,timetable
Quel est mon cours de Projet CTF et Challenges Jeudi ?,timetable
Où se passe Projet CTF et Challenges Jeudi ?,timetable
Dans quelle salle est le cours de Projet CTF et Challenges ?,timetable
"Je suis en B3-CYBER, j'ai quoi comme cours Jeudi ?",timetable
J'ai cours de Projet CTF et Challenges Jeudi ?,timetable
"En B3-CYBER, quel cours j'ai Jeudi ?",timetable
Où se passe Anglais Technique - CybersÃ©curitÃ© Jeudi ?,timetable
Quel est mon cours de Anglais Technique - CybersÃ©curitÃ© Jeudi en B3-CYBER ?,timetable
Le cours de Anglais Technique - CybersÃ©curitÃ© est en salle Salle B103 ?,timetable
J'ai cours de Anglais Technique - CybersÃ©curitÃ© Jeudi ?,timetable
Dans quelle salle est le cours de Anglais Technique - CybersÃ©curitÃ© ?,timetable
Quel est mon cours de Anglais Technique - CybersÃ©curitÃ© Jeudi ?,timetable
J'ai cours de ConformitÃ© et Gouvernance (ISO 27001) Vendredi ?,timetable
Quel est mon cours de ConformitÃ© et Gouvernance (ISO 27001) Vendredi ?,timetable
"Je suis en B3-CYBER, j'ai quoi comme cours Vendredi ?",timetable
Dans quelle salle est le cours de ConformitÃ© et Gouvernance (ISO 27001) ?,timetable
Quel est mon cours de ConformitÃ© et Gouvernance (ISO 27001) Vendredi en B3-CYBER ?,timetable
Le cours de ConformitÃ© et Gouvernance (ISO 27001) est en salle Salle B201 ?,timetable
"En B3-CYBER, quel cours j'ai Vendredi ?",timetable
Où se passe ConformitÃ© et Gouvernance (ISO 27001) Vendredi ?,timetable
Où se passe Gestion de Projet Cyber Vendredi ?,timetable
Quel est mon cours de Gestion de Projet Cyber Vendredi en B3-CYBER ?,timetable
Quel est mon cours de Gestion de Projet Cyber Vendredi ?,timetable
Le cours de Gestion de Projet Cyber est en salle Salle B202 ?,timetable
J'ai cours de Gestion de Projet Cyber Vendredi ?,timetable
Dans quelle salle est le cours de Gestion de Projet Cyber ?,timetable
Quel est mon cours de Architecture Logicielle Lundi en B3-DEV ?,timetable
Le cours de Architecture Logicielle est en salle Salle B201 ?,timetable
Quel est mon cours de Architecture Logicielle Lundi ?,timetable
Où voir l'emploi du temps pour B3-DEV ?,timetable
Emploi du temps B3-DEV,timetable
J'ai cours de Architecture Logicielle Lundi ?,timetable
"Je suis en B3-DEV, j'ai quoi comme cours Lundi ?",timetable
Où se passe Architecture Logicielle Lundi ?,timetable
"En B3-DEV, quel cours j'ai Lundi ?",timetable
Dans quelle salle est le cours de Architecture Logicielle ?,timetable
Quel est mon cours de DÃ©veloppement Mobile AvancÃ© Lundi ?,timetable
J'ai cours de DÃ©veloppement Mobile AvancÃ© Lundi ?,timetable
Quel est mon cours de DÃ©veloppement Mobile AvancÃ© Lundi en B3-DEV ?,timetable
Dans quelle salle est le cours de DÃ©veloppement Mobile AvancÃ© ?,timetable
Le cours de DÃ©veloppement Mobile AvancÃ© est en salle Salle B201 ?,timetable
Où se passe DÃ©veloppement Mobile AvancÃ© Lundi ?,timetable
Quel est mon cours de DevOps et CI/CD Mardi en B3-DEV ?,timetable
J'ai cours de DevOps et CI/CD Mardi ?,timetable
Où se passe DevOps et CI/CD Mardi ?,timetable
"Je suis en B3-DEV, j'ai quoi comme cours Mardi ?",timetable
"En B3-DEV, quel cours j'ai Mardi ?",timetable
Le cours de DevOps et CI/CD est en salle Salle B201 ?,timetable
Quel est mon cours de DevOps et CI/CD Mardi ?,timetable
Dans quelle salle est le cours de DevOps et CI/CD ?,timetable
J'ai cours de Cloud Computing (AWS) Mardi ?,timetable
Dans quelle salle est le cours de Cloud Computing (AWS) ?,timetable
Quel est mon cours de Cloud Computing (AWS) Mardi en B3-DEV ?,timetable
Le cours de Cloud Computing (AWS) est en salle Salle B202 ?,timetable
Quel est mon cours de Cloud Computing (AWS) Mardi ?,timetable
Où se passe Cloud Computing (AWS) Mardi ?,timetable
"Je suis en B3-DEV, j'ai quoi comme cours Mercredi ?",timetable
Où se passe Projet DÃ©veloppement Fullstack Mercredi ?,timetable
Quel est mon cours de Projet DÃ©veloppement Fullstack Mercredi en B3-DEV ?,timetable
Quel est mon cours de Projet DÃ©veloppement Fullstack Mercredi ?,timetable
J'ai cours de Projet DÃ©veloppement Fullstack Mercredi ?,timetable
Dans quelle salle est le cours de Projet DÃ©veloppement Fullstack ?,timetable
"En B3-DEV, quel cours j'ai Mercredi ?",timetable
Le cours de Projet DÃ©veloppement Fullstack est en salle Lab Dev ?,timetable
Quel est mon cours de Tests et QualitÃ© Logicielle Mercredi en B3-DEV ?,timetable
Le cours de Tests et QualitÃ© Logicielle est en salle Salle B201 ?,timetable
Dans quelle salle est le cours de Tests et QualitÃ© Logicielle ?,timetable
Où se passe Tests et QualitÃ© Logicielle Mercredi ?,timetable
J'ai cours de Tests et QualitÃ© Logicielle Mercredi ?,timetable
Quel est mon cours de Tests et QualitÃ© Logicielle Mercredi ?,timetable
J'ai cours de Microservices et Containers Jeudi ?,timetable
Dans quelle salle est le cours de Microservices et Containers ?,timetable
Quel est mon cours de Microservices et Containers Jeudi en B3-DEV ?,timetable
"Je suis en B3-DEV, j'ai quoi comme cours Jeudi ?",timetable
Où se passe Microservices et Containers Jeudi ?,timetable
Quel est mon cours de Microservices et Containers Jeudi ?,timetable
"En B3-DEV, quel cours j'ai Jeudi ?",timetable
Le cours de Microservices et Containers est en salle Salle B202 ?,timetable
Quel est mon cours de Anglais Technique - DÃ©veloppement Jeudi en B3-DEV ?,timetable
Le cours de Anglais Technique - DÃ©veloppement est en salle Salle B105 ?,timetable
Dans quelle salle est le cours de Anglais Technique - DÃ©veloppement ?,timetable
Où se passe Anglais Technique - DÃ©veloppement Jeudi ?,timetable
J'ai cours de Anglais Technique - DÃ©veloppement Jeudi ?,timetable
Quel est mon cours de Anglais Technique - DÃ©veloppement Jeudi ?,timetable
Le cours de Gestion de Projet Agile est en salle Salle B201 ?,timetable
"Je suis en B3-DEV, j'ai quoi comme cours Vendredi ?",timetable
J'ai cours de Gestion de Projet Agile Vendredi ?,timetable
Dans quelle salle est le cours de Gestion de Projet Agile ?,timetable
Quel est mon cours de Gestion de Projet Agile Vendredi ?,timetable
Où se passe Gestion de Projet Agile Vendredi ?,timetable
"En B3-DEV, quel cours j'ai Vendredi ?",timetable
Quel est mon cours de Gestion de Projet Agile Vendredi en B3-DEV ?,timetable
Emploi du temps M1-IA,timetable
Dans quelle salle est le cours de Deep Learning AvancÃ© ?,timetable
Quel est mon cours de Deep Learning AvancÃ© Lundi ?,timetable
Le cours de Deep Learning AvancÃ© est en salle Salle B201 ?,timetable
"En M1-IA, quel cours j'ai Lundi ?",timetable
Où voir l'emploi du temps pour M1-IA ?,timetable
Où se passe Deep Learning AvancÃ© Lundi ?,timetable
Quel est mon cours de Deep Learning AvancÃ© Lundi en M1-IA ?,timetable
J'ai cours de Deep Learning AvancÃ© Lundi ?,timetable
"Je suis en M1-IA, j'ai quoi comme cours Lundi ?",timetable
Quel est mon cours de Computer Vision Lundi ?,timetable
Dans quelle salle est le cours de Computer Vision ?,timetable
J'ai cours de Computer Vision Lundi ?,timetable
Où se passe Computer Vision Lundi ?,timetable
Le cours de Computer Vision est en salle Salle B202 ?,timetable
Quel est mon cours de Computer Vision Lundi en M1-IA ?,timetable
Le cours de IA GÃ©nÃ©rative (GANs Transformers) est en salle Salle B201 ?,timetable
Quel est mon cours de IA GÃ©nÃ©rative (GANs Transformers) Mardi ?,timetable
Dans quelle salle est le cours de IA GÃ©nÃ©rative (GANs Transformers) ?,timetable
"En M1-IA, quel cours j'ai Mardi ?",timetable
Où se passe IA GÃ©nÃ©rative (GANs Transformers) Mardi ?,timetable
"Je suis en M1-IA, j'ai quoi comme cours Mardi ?",timetable
J'ai cours de IA GÃ©nÃ©rative (GANs Transformers) Mardi ?,timetable
Quel est mon cours de IA GÃ©nÃ©rative (GANs Transformers) Mardi en M1-IA ?,timetable
"Je suis en M1-IA, j'ai quoi comme cours Mercredi ?",timetable
Quel est mon cours de Projet de Recherche en IA Mercredi en M1-IA ?,timetable
J'ai cours de Projet de Recherche en IA Mercredi ?,timetable
Le cours de Projet de Recherche en IA est en salle Lab Data ?,timetable
Quel est mon cours de Projet de Recherche en IA Mercredi ?,timetable
Dans quelle salle est le cours de Projet de Recherche en IA ?,timetable
"En M1-IA, quel cours j'ai Mercredi ?",timetable
Où se passe Projet de Recherche en IA Mercredi ?,timetable
Où se passe Ã‰thique et IA Responsable Jeudi ?,timetable
Dans quelle salle est le cours de Ã‰thique et IA Responsable ?,timetable
J'ai cours de Ã‰thique et IA Responsable Jeudi ?,timetable
Quel est mon cours de Ã‰thique et IA Responsable Jeudi ?,timetable
"Je suis en M1-IA, j'ai quoi comme cours Jeudi ?",timetable
Le cours de Ã‰thique et IA Responsable est en salle Salle B201 ?,timetable
"En M1-IA, quel cours j'ai Jeudi ?",timetable
Quel est mon cours de Ã‰thique et IA Responsable Jeudi en M1-IA ?,timetable
J'ai cours de Reinforcement Learning Jeudi ?,timetable
Quel est mon cours de Reinforcement Learning Jeudi ?,timetable
Dans quelle salle est le cours de Reinforcement Learning ?,timetable
Quel est mon cours de Reinforcement Learning Jeudi en M1-IA ?,timetable
Où se passe Reinforcement Learning Jeudi ?,timetable
Le cours de Reinforcement Learning est en salle Salle B202 ?,timetable
"Je suis en M1-IA, j'ai quoi comme cours Vendredi ?",timetable
Dans quelle salle est le cours de SÃ©minaire de Recherche ?,timetable
Quel est mon cours de SÃ©minaire de Recherche Vendredi ?,timetable
Où se passe SÃ©minaire de Recherche Vendredi ?,timetable
Quel est mon cours de SÃ©minaire de Recherche Vendredi en M1-IA ?,timetable
"En M1-IA, quel cours j'ai Vendredi ?",timetable
J'ai cours de SÃ©minaire de Recherche Vendredi ?,timetable
Le cours de SÃ©minaire de Recherche est en salle Salle B201 ?,timetable
J'ai cours de Innovation et Product Management Vendredi ?,timetable
Dans quelle salle est le cours de Innovation et Product Management ?,timetable
Où se passe Innovation et Product Management Vendredi ?,timetable
Le cours de Innovation et Product Management est en salle Salle B202 ?,timetable
Quel est mon cours de Innovation et Product Management Vendredi en M1-IA ?,timetable
Quel est mon cours de Innovation et Product Management Vendredi ?,timetable
Quel est mon cours de Threat Intelligence et SOC Lundi en M1-CYBER ?,timetable
Où voir l'emploi du temps pour M1-CYBER ?,timetable
J'ai cours de Threat Intelligence et SOC Lundi ?,timetable
Dans quelle salle est le cours de Threat Intelligence et SOC ?,timetable
Le cours de Threat Intelligence et SOC est en salle Salle B201 ?,timetable
Où se passe Threat Intelligence et SOC Lundi ?,timetable
"En M1-CYBER, quel cours j'ai Lundi ?",timetable
Emploi du temps M1-CYBER,timetable
Quel est mon cours de Threat Intelligence et SOC Lundi ?,timetable
"Je suis en M1-CYBER, j'ai quoi comme cours Lundi ?",timetable
Quel est mon cours de SÃ©curitÃ© Cloud et DevSecOps Lundi ?,timetable
Le cours de SÃ©curitÃ© Cloud et DevSecOps est en salle Salle B202 ?,timetable
Quel est mon cours de SÃ©curitÃ© Cloud et DevSecOps Lundi en M1-CYBER ?,timetable
Dans quelle salle est le cours de SÃ©curitÃ© Cloud et DevSecOps ?,timetable
Où se passe SÃ©curitÃ© Cloud et DevSecOps Lundi ?,timetable
J'ai cours de SÃ©curitÃ© Cloud et DevSecOps Lundi ?,timetable
"Je suis en M1-CYBER, j'ai quoi comme cours Mardi ?",timetable
Quel est mon cours de Cryptographie AvancÃ©e Mardi ?,timetable
Quel est mon cours de Cryptographie AvancÃ©e Mardi en M1-CYBER ?,timetable
Le cours de Cryptographie AvancÃ©e est en salle Salle B201 ?,timetable
Où se passe Cryptographie AvancÃ©e Mardi ?,timetable
J'ai cours de Cryptographie AvancÃ©e Mardi ?,timetable
Dans quelle salle est le cours de Cryptographie AvancÃ©e ?,timetable
"En M1-CYBER, quel cours j'ai Mardi ?",timetable
Dans quelle salle est le cours de Audit de SÃ©curitÃ© ?,timetable
Le cours de Audit de SÃ©curitÃ© est en salle Salle B201 ?,timetable
Où se passe Audit de SÃ©curitÃ© Mardi ?,timetable
Quel est mon cours de Audit de SÃ©curitÃ© Mardi ?,timetable
Quel est mon cours de Audit de SÃ©curitÃ© Mardi en M1-CYBER ?,timetable
J'ai cours de Audit de SÃ©curitÃ© Mardi ?,timetable
"En M1-CYBER, quel cours j'ai Mercredi ?",timetable
Où se passe Projet Red Team / Blue Team Mercredi ?,timetable
Quel est mon cours de Projet Red Team / Blue Team Mercredi en M1-CYBER ?,timetable
Le cours de Projet Red Team / Blue Team est en salle Lab Cyber ?,timetable
Quel est mon cours de Projet Red Team / Blue Team Mercredi ?,timetable
"Je suis en M1-CYBER, j'ai quoi comme cours Mercredi ?",timetable
J'ai cours de Projet Red Team / Blue Team Mercredi ?,timetable
Dans quelle salle est le cours de Projet Red Team / Blue Team ?,timetable
Dans quelle salle est le cours de SÃ©curitÃ© IoT et OT ?,timetable
J'ai cours de SÃ©curitÃ© IoT et OT Jeudi ?,timetable
Où se passe SÃ©curitÃ© IoT et OT Jeudi ?,timetable
"Je suis en M1-CYBER, j'ai quoi comme cours Jeudi ?",timetable
Quel est mon cours de SÃ©curitÃ© IoT et OT Jeudi ?,timetable
"En M1-CYBER, quel cours j'ai Jeudi ?",timetable
Le cours de SÃ©curitÃ© IoT et OT est en salle Salle B201 ?,timetable
Quel est mon cours de SÃ©curitÃ© IoT et OT Jeudi en M1-CYBER ?,timetable
J'ai cours de SÃ©minaire CybersÃ©curitÃ© Jeudi ?,timetable
Quel est mon cours de SÃ©minaire CybersÃ©curitÃ© Jeudi ?,timetable
Le cours de SÃ©minaire CybersÃ©curitÃ© est en salle Salle B201 ?,timetable
